id,address_state,application_type,emp_length,emp_title,grade,home_ownership,last_credit_pull_date,last_payment_date,loan_status,next_payment_date,member_id,purpose,sub_grade,term,verification_status,annual_income,dti,installment,int_rate,loan_amount,total_acc,total_payment,issue_date
405898,GA,INDIVIDUAL,"< 1 year","Blue Ridge Design Group",A,MORTGAGE,16-05-2021,09-12-2021,"Charged Off",09-01-2022,454145,car,A5," 36 months","Not Verified",36000,0.15,385.14,0.0963,12000,24,2306,2021-06-09
445846,MI,INDIVIDUAL,"10+ years","Abbott Nutrition",A,MORTGAGE,16-05-2021,12-02-2021,"Charged Off",12-03-2021,544784,car,A5," 36 months","Not Verified",45000,0.152,222.41,0.0894,7000,24,6446,2021-10-09
659221,MI,INDIVIDUAL,"3 years","rice &werthmann",A,MORTGAGE,16-05-2021,13-10-2021,"Charged Off",13-11-2021,843127,car,A5," 36 months","Not Verified",86400,0.0385,280.62,0.0766,9000,10,8945,2021-01-11
782425,UT,INDIVIDUAL,"6 years","Five County Assoc of Governments",A,MORTGAGE,16-05-2021,12-07-2021,"Charged Off",12-08-2021,985412,car,A5," 36 months","Not Verified",24600,0.0785,152.42,0.089,4800,21,1978,2021-06-11
458328,GA,INDIVIDUAL,"< 1 year","north ga dentention center",B,MORTGAGE,10-11-2021,10-07-2021,"Charged Off",10-08-2021,570309,car,B2," 36 months","Not Verified",30000,0.0992,164.85,0.1148,5000,19,884,2021-01-10
744344,WA,INDIVIDUAL,"6 years",,B,MORTGAGE,16-05-2021,13-01-2021,"Charged Off",13-02-2021,942813,car,B4," 36 months","Not Verified",48000,0.2357,197.83,0.1149,6000,27,3950,2021-05-11
1026463,FL,INDIVIDUAL,"6 years","sky powersports",C,MORTGAGE,14-04-2021,13-12-2021,"Charged Off",13-01-2022,1255647,car,C3," 36 months","Not Verified",60000,0.0366,217.32,0.1465,6300,10,5554,2021-11-11
489679,FL,INDIVIDUAL,"2 years","Synovus Bank",D,MORTGAGE,12-12-2021,12-07-2021,"Charged Off",12-08-2021,624878,car,D4," 36 months","Not Verified",34000,0.1486,210.07,0.157,6000,6,5986,2021-03-10
519658,GA,INDIVIDUAL,"< 1 year","ACUMEN FISCAL AGENT/MS ROBINSON",A,OWN,12-01-2021,11-08-2021,"Charged Off",11-09-2021,671773,car,A5," 36 months","Not Verified",18000,0.216,148.59,0.0788,4750,16,2216,2021-05-10
470041,CA,INDIVIDUAL,"10+ years","inspired automation inc",A,OWN,12-03-2021,11-10-2021,"Charged Off",11-11-2021,593245,car,A1," 36 months","Not Verified",43800,0.0737,148.32,0.0705,4800,7,3210,2021-01-10
393852,NH,INDIVIDUAL,"10+ years",self,B,OWN,11-06-2021,11-01-2021,"Charged Off",11-02-2021,432187,car,B4," 36 months","Not Verified",98736,0.0812,50.58,0.1189,9000,19,1045,2021-05-09
725534,TX,INDIVIDUAL,"1 year","Able Electronics",B,OWN,13-12-2021,13-07-2021,"Charged Off",13-08-2021,920793,car,B4," 36 months","Not Verified",48000,0.051,60.34,0.1074,1850,45,1655,2021-04-11
428387,PA,INDIVIDUAL,"< 1 year","Abraxas I",C,OWN,16-05-2021,09-10-2021,"Charged Off",09-11-2021,506847,car,C2," 36 months","Not Verified",27852,0.1021,141.2,0.1284,4200,28,282,2021-07-09
783561,CA,INDIVIDUAL,"6 years","La curacao",A,RENT,12-06-2021,12-02-2021,"Charged Off",12-03-2021,986688,car,A4," 36 months","Not Verified",48000,0.2585,186.61,0.0749,6000,16,1575,2021-06-11
969474,HI,INDIVIDUAL,"7 years","Outback Steakhouse",A,RENT,14-03-2021,13-10-2021,"Charged Off",13-11-2021,1190684,car,A5," 36 months","Not Verified",30000,0.1872,228.63,0.089,7200,25,5845,2021-10-11
773111,WA,INDIVIDUAL,"3 years","URS corp",A,RENT,14-04-2021,13-11-2021,"Charged Off",13-12-2021,975126,car,A5," 36 months","Not Verified",22800,0.0526,75.76,0.0849,2400,3,2278,2021-06-11
472634,FL,INDIVIDUAL,"1 year",walmart,A,RENT,11-04-2021,10-11-2021,"Charged Off",10-12-2021,596856,car,A1," 36 months","Not Verified",12720,0,231.75,0.0705,7500,9,2073,2021-12-09
494891,MA,INDIVIDUAL,"5 years","EdgeStream Inc",B,RENT,16-04-2021,11-03-2021,"Charged Off",11-04-2021,633723,car,B5," 36 months","Not Verified",31000,0.0159,182.66,0.1136,5550,5,2083,2021-03-10
458797,NV,INDIVIDUAL,"8 years","MAD MATT'S Bar & Grille",B,RENT,11-11-2021,11-07-2021,"Charged Off",11-08-2021,571361,car,B2," 36 months","Not Verified",89650,0.0056,725.31,0.1148,22000,19,15424,2021-11-09
743690,OK,INDIVIDUAL,"3 years","Dominos Pizza",B,RENT,15-02-2021,12-06-2021,"Charged Off",12-07-2021,942003,car,B5," 36 months","Not Verified",45000,0.1464,332.1,0.1199,10000,18,4553,2021-05-11
384963,NJ,INDIVIDUAL,"10+ years","Pesci Family",B,RENT,11-07-2021,11-03-2021,"Charged Off",11-04-2021,416412,car,B1," 36 months","Not Verified",39996,0.2298,261.71,0.1095,8000,43,6197,2021-03-09
508426,OH,INDIVIDUAL,"< 1 year","Forum Health",B,RENT,16-05-2021,11-12-2021,"Charged Off",11-01-2022,656002,car,B4," 36 months","Not Verified",49800,0.174,163.68,0.1099,5000,13,3110,2021-05-10
402318,IL,INDIVIDUAL,"8 years","River Trails Park District",B,RENT,12-03-2021,11-10-2021,"Charged Off",11-11-2021,446914,car,B5," 36 months","Not Verified",15000,0.1688,106.61,0.1221,3200,19,3140,2021-05-09
359401,CA,INDIVIDUAL,"2 years","DMS Marketing",C,RENT,16-05-2021,09-09-2021,"Charged Off",09-10-2021,366581,car,C3," 36 months","Not Verified",48000,0.1753,200.47,0.1241,6000,14,5104,2021-10-08
290803,TX,INDIVIDUAL,"< 1 year",Nesle,C,RENT,10-12-2021,10-08-2021,"Charged Off",10-09-2021,290796,car,C2," 36 months","Not Verified",37440,0.0772,98.7,0.1134,3000,14,2798,2021-03-08
847836,AZ,INDIVIDUAL,"7 years","24 hour fitness",C,RENT,16-05-2021,13-05-2021,"Charged Off",13-06-2021,1059380,car,C3," 36 months","Not Verified",105000,0.135,382.74,0.1399,11200,29,8037,2021-08-11
362098,FL,INDIVIDUAL,"2 years",Starbucks,D,RENT,11-01-2021,10-08-2021,"Charged Off",10-09-2021,371139,car,D2," 36 months","Not Verified",15000,0.14,136.08,0.1367,4000,13,2685,2021-11-08
1044994,CA,INDIVIDUAL,"4 years","URS Corp",D,RENT,16-05-2021,14-03-2021,"Charged Off",14-04-2021,1275383,car,D2," 36 months","Not Verified",59100,0.1287,106.62,0.1677,3000,13,2772,2021-12-11
734343,NY,INDIVIDUAL,"4 years","Berean Group",B,MORTGAGE,14-03-2021,13-10-2021,"Charged Off",13-11-2021,930853,car,B2," 36 months","Not Verified",126000,0.1529,193.61,0.1,6000,22,5796,2021-04-11
126392,WI,INDIVIDUAL,"< 1 year","Tideway Systems",A,MORTGAGE,07-08-2021,08-04-2021,"Fully Paid",08-05-2021,125914,car,A4," 36 months","Not Verified",173000,0.0072,313.67,0.0807,10000,41,10435,2021-09-07
269289,CT,INDIVIDUAL,"< 1 year","mdm golf",A,MORTGAGE,11-01-2021,10-10-2021,"Fully Paid",10-11-2021,260821,car,A5," 36 months","Not Verified",60000,0.0894,316.28,0.0863,10000,27,11340,2021-03-08
266282,TX,INDIVIDUAL,"5 years","NetVida Marketing, Inc.",B,MORTGAGE,10-05-2021,10-05-2021,"Fully Paid",10-06-2021,188654,car,B2," 36 months","Not Verified",40000,0.1872,257.24,0.0976,8000,35,9149,2021-02-08
243406,NJ,INDIVIDUAL,"9 years","CK General Construction",B,MORTGAGE,12-09-2021,11-02-2021,"Fully Paid",11-03-2021,243089,car,B2," 36 months","Not Verified",200000,0.0484,192.93,0.0976,6000,22,6945,2021-02-08
226154,MN,INDIVIDUAL,"10+ years","Ramsey County",E,MORTGAGE,11-01-2021,11-02-2021,"Fully Paid",11-03-2021,225530,car,E1," 36 months","Not Verified",72000,0.2257,170.72,0.1393,5000,44,6146,2021-01-08
253727,WA,INDIVIDUAL,"2 years","Central Washington Hospital",A,OWN,10-09-2021,10-09-2021,"Fully Paid",10-10-2021,253715,car,A5," 36 months","Not Verified",10000,0,142.33,0.0863,4500,6,5096,2021-02-08
196380,CA,INDIVIDUAL,"10+ years","Comerica Bank",A,RENT,10-02-2021,10-02-2021,"Fully Paid",10-03-2021,188466,car,A4," 36 months","Not Verified",62000,0.1407,345.06,0.0807,11000,23,12247,2021-01-08
206181,MA,INDIVIDUAL,"< 1 year","Lexington Alarm Systems",A,RENT,16-04-2021,10-04-2021,"Fully Paid",10-05-2021,167318,car,A1," 36 months","Not Verified",28800,0,108.27,0.0712,3500,5,3863,2021-01-08
219070,CO,INDIVIDUAL,"2 years","Arborist Services",B,RENT,10-09-2021,10-09-2021,"Fully Paid",10-10-2021,219037,car,B5," 36 months","Not Verified",50000,0.0506,194.91,0.1046,6000,21,6982,2021-02-08
219000,WA,INDIVIDUAL,"3 years","Evergreen Treatment Services",B,RENT,11-01-2021,11-01-2021,"Fully Paid",11-02-2021,218997,car,B1," 36 months","Not Verified",37000,0.1674,175.42,0.092,5500,36,6320,2021-01-08
281384,TN,INDIVIDUAL,"< 1 year","Church of God of Prophecy",C,RENT,11-03-2021,11-03-2021,"Fully Paid",11-04-2021,281309,car,C3," 36 months","Not Verified",54263,0.1238,115.69,0.1166,3500,23,4164,2021-03-08
120525,VA,INDIVIDUAL,"1 year",Starbucks,C,RENT,11-06-2021,10-08-2021,"Fully Paid",10-09-2021,120227,car,C3," 36 months","Not Verified",18000,0.18,130.79,0.1091,4000,5,4708,2021-08-07
253987,VA,INDIVIDUAL,"2 years",Comcast,C,RENT,16-05-2021,10-06-2021,"Fully Paid",10-07-2021,253974,car,C1," 36 months","Not Verified",41000,0.1692,98.26,0.1103,3000,16,3498,2021-02-08
450292,CT,INDIVIDUAL,"1 year","Newcomb Spring",A,MORTGAGE,16-02-2021,12-10-2021,"Fully Paid",12-11-2021,553755,car,A2," 36 months","Not Verified",85000,0.0239,136.66,0.074,4400,19,4920,2021-10-09
401775,GA,INDIVIDUAL,"1 year","Chemlink Laboratories",A,MORTGAGE,12-05-2021,12-05-2021,"Fully Paid",12-06-2021,446077,car,A2," 36 months","Not Verified",28500,0.0223,265.13,0.0768,8500,10,9544,2021-05-09
373881,TX,INDIVIDUAL,"1 year","Jesuit College Preparatory School",A,MORTGAGE,11-02-2021,11-02-2021,"Fully Paid",11-03-2021,394401,car,A2," 36 months","Not Verified",40308,0.0578,155.96,0.0768,5000,19,5422,2021-01-09
973780,TX,INDIVIDUAL,"1 year","Diamond Offshore",A,MORTGAGE,14-10-2021,14-10-2021,"Fully Paid",14-11-2021,1195796,car,A2," 36 months","Not Verified",149400,0.0994,214.93,0.0662,7000,43,7737,2021-10-11
750759,WI,INDIVIDUAL,"1 year","BRP US Inc",A,MORTGAGE,14-06-2021,14-06-2021,"Fully Paid",14-07-2021,950147,car,A2," 36 months","Not Verified",54000,0.1129,60.84,0.0599,2000,18,2190,2021-06-11
745149,OH,INDIVIDUAL,"1 year","Independant Contractor",A,MORTGAGE,16-05-2021,14-05-2021,"Fully Paid",14-06-2021,943695,car,A3," 36 months","Not Verified",38400,0.0319,74.1,0.0699,2400,7,2667,2021-05-11
775926,MO,INDIVIDUAL,"1 year","Northwwind Engineering",A,MORTGAGE,14-06-2021,14-06-2021,"Fully Paid",14-07-2021,978223,car,A4," 36 months","Not Verified",60000,0.0242,149.29,0.0749,4800,6,5374,2021-06-11
651079,RI,INDIVIDUAL,"1 year","Fakouri Electrical",A,MORTGAGE,14-01-2021,14-01-2021,"Fully Paid",14-02-2021,832879,car,A4," 36 months","Not Verified",58000,0.2127,124.04,0.0729,4000,24,4466,2021-01-11
627209,MD,INDIVIDUAL,"10+ years","Second Empire Furniture Inc.",A,MORTGAGE,14-10-2021,13-12-2021,"Fully Paid",13-01-2022,803704,car,A1," 36 months","Not Verified",31000,0.0283,241.28,0.0542,8000,17,8686,2021-12-10
781516,MO,INDIVIDUAL,"10+ years","state of missouri department of correcti",A,MORTGAGE,11-07-2021,11-08-2021,"Fully Paid",11-09-2021,984370,car,A1," 36 months","Not Verified",33600,0.0161,90.48,0.0542,3000,15,3014,2021-06-11
971771,CA,INDIVIDUAL,"10+ years","Stafford Meat Co., Inc.",A,MORTGAGE,16-05-2021,14-10-2021,"Fully Paid",14-11-2021,1193520,car,A1," 36 months","Not Verified",64320,0.025,243.49,0.0603,8000,17,8765,2021-10-11
796355,RI,INDIVIDUAL,"10+ years","Local 51",A,MORTGAGE,16-04-2021,14-07-2021,"Fully Paid",14-08-2021,1001198,car,A1," 36 months","Not Verified",79200,0.0218,150.8,0.0542,5000,28,5429,2021-06-11
868443,DE,INDIVIDUAL,"10+ years","Bank of America",A,MORTGAGE,16-05-2021,14-04-2021,"Fully Paid",14-05-2021,1082151,car,A1," 36 months","Not Verified",63996,0.0651,96.52,0.0542,3200,26,3468,2021-09-11
683816,NY,INDIVIDUAL,"10+ years","operating engineers local 158",A,MORTGAGE,11-09-2021,11-09-2021,"Fully Paid",11-10-2021,873188,car,A1," 36 months","Not Verified",72000,0.2075,223.19,0.0542,7400,23,7556,2021-03-11
1023029,PA,INDIVIDUAL,"10+ years","williams service co",A,MORTGAGE,14-11-2021,14-12-2021,"Fully Paid",14-01-2022,1251828,car,A1," 36 months","Not Verified",72000,0.1782,152.18,0.0603,5000,37,5478,2021-11-11
886517,NM,INDIVIDUAL,"10+ years","C&E Concrete,inc.",A,MORTGAGE,14-09-2021,14-10-2021,"Fully Paid",14-11-2021,1102391,car,A1," 36 months","Not Verified",41784,0.1872,152.18,0.0603,5000,22,5478,2021-09-11
1001581,TX,INDIVIDUAL,"10+ years","BASF Corporation",A,MORTGAGE,16-05-2021,13-10-2021,"Fully Paid",13-11-2021,1227382,car,A1," 36 months","Not Verified",96000,0.238,182.62,0.0603,6000,27,6493,2021-10-11
1004019,NY,INDIVIDUAL,"10+ years","village of solvay dpw",A,MORTGAGE,16-04-2021,14-08-2021,"Fully Paid",14-09-2021,1230439,car,A1," 36 months","Not Verified",54000,0.2407,182.62,0.0603,6000,32,6569,2021-10-11
675716,NV,INDIVIDUAL,"10+ years","Gideon Toal/U.P.R Inc.",A,MORTGAGE,14-04-2021,14-03-2021,"Fully Paid",14-04-2021,863546,car,A1," 36 months","Not Verified",36000,0.2293,271.44,0.0542,9000,47,9772,2021-02-11
887254,MN,INDIVIDUAL,"10+ years","City of West St Paul",A,MORTGAGE,16-05-2021,14-11-2021,"Fully Paid",14-12-2021,1103400,car,A1," 36 months","Not Verified",114000,0.1658,219.14,0.0603,7200,52,7889,2021-10-11
865714,TX,INDIVIDUAL,"10+ years","Harris County",A,MORTGAGE,16-05-2021,13-08-2021,"Fully Paid",13-09-2021,1078994,car,A1," 36 months","Not Verified",48000,0.1732,170.41,0.0542,5650,32,6067,2021-09-11
770503,LA,INDIVIDUAL,"10+ years","LSU MEDICAL CENTER OF LOUISIANA",A,MORTGAGE,12-01-2021,12-01-2021,"Fully Paid",12-02-2021,972180,car,A2," 36 months","Not Verified",39600,0.1406,182.51,0.0599,6000,32,6194,2021-06-11
548151,NJ,INDIVIDUAL,"10+ years","ABERDEEN TWSP",A,MORTGAGE,16-05-2021,13-08-2021,"Fully Paid",13-09-2021,706758,car,A2," 36 months","Not Verified",108000,0.1976,107.69,0.0676,3500,37,3877,2021-07-10
542312,FL,INDIVIDUAL,"10+ years","Micros Systems Inc.",A,MORTGAGE,16-05-2021,13-07-2021,"Fully Paid",13-08-2021,699868,car,A2," 36 months","Not Verified",57431,0.0618,123.07,0.0676,4000,21,4431,2021-07-10
1008323,AR,INDIVIDUAL,"10+ years","Arkansas Department Of Correction",A,MORTGAGE,15-12-2021,14-12-2021,"Fully Paid",14-01-2022,1234988,car,A3," 36 months","Not Verified",32469,0.2935,186.67,0.0751,6000,16,6714,2021-11-11
457893,AR,INDIVIDUAL,"10+ years",Kroger,A,MORTGAGE,12-11-2021,12-11-2021,"Fully Paid",12-12-2021,569597,car,A3," 36 months","Not Verified",26000,0.0429,218.54,0.0774,7000,11,7867,2021-11-09
451579,OH,INDIVIDUAL,"10+ years","Alliance Data Systems",A,MORTGAGE,14-06-2021,12-03-2021,"Fully Paid",12-04-2021,556476,car,A3," 36 months","Not Verified",75000,0.0234,156.1,0.0774,5000,21,5584,2021-10-09
1027822,KY,INDIVIDUAL,"10+ years","City of Madisonville",A,MORTGAGE,16-05-2021,14-08-2021,"Fully Paid",14-09-2021,1257204,car,A3," 36 months","Not Verified",58000,0.2692,56,0.0751,1800,28,2013,2021-11-11
700052,NC,INDIVIDUAL,"10+ years","RCCG - Victory Temple",A,MORTGAGE,15-11-2021,14-04-2021,"Fully Paid",14-05-2021,891691,car,A3," 36 months","Not Verified",50000,0.203,308.41,0.0692,10000,32,11103,2021-04-11
661459,OH,INDIVIDUAL,"10+ years","Atkins and Pearce",A,MORTGAGE,14-02-2021,14-02-2021,"Fully Paid",14-03-2021,845936,car,A4," 36 months","Not Verified",48000,0.1988,201.57,0.0729,6500,24,7257,2021-02-11
768140,CA,INDIVIDUAL,"10+ years","Orchard Supply Hardware",A,MORTGAGE,12-12-2021,12-12-2021,"Fully Paid",12-01-2022,969361,car,A4," 36 months","Not Verified",73000,0.1433,155.51,0.0749,5000,23,5312,2021-05-11
823069,CT,INDIVIDUAL,"10+ years","Custom Phone Inc",A,MORTGAGE,12-11-2021,12-11-2021,"Fully Paid",12-12-2021,1031607,car,A4," 36 months","Not Verified",68000,0.0286,248.82,0.0749,8000,13,8615,2021-07-11
761499,GA,INDIVIDUAL,"10+ years","Greif LLC",A,MORTGAGE,14-08-2021,14-06-2021,"Fully Paid",14-07-2021,961964,car,A4," 36 months","Not Verified",112992,0.1825,248.82,0.0749,8000,25,8957,2021-05-11
390651,VA,INDIVIDUAL,"10+ years","Girard Engineering",A,MORTGAGE,15-07-2021,12-04-2021,"Fully Paid",12-05-2021,425903,car,A4," 36 months","Not Verified",135000,0.0518,255.58,0.0932,8000,14,9201,2021-04-09
483645,GA,INDIVIDUAL,"10+ years",AT&T,A,MORTGAGE,13-02-2021,13-02-2021,"Fully Paid",13-03-2021,615502,car,A4," 36 months","Not Verified",75181,0.1831,186.66,0.0751,6000,30,6720,2021-02-10
866551,IL,INDIVIDUAL,"10+ years","City of Chicago",A,MORTGAGE,14-09-2021,14-09-2021,"Fully Paid",14-10-2021,1079988,car,A4," 36 months","Not Verified",110400,0.1916,93.31,0.0749,3000,41,3359,2021-09-11
394295,CA,INDIVIDUAL,"10+ years","Downey welding",A,MORTGAGE,12-05-2021,12-05-2021,"Fully Paid",12-06-2021,432897,car,A5," 36 months","Not Verified",48000,0.1257,481.42,0.0963,15000,31,17331,2021-04-09
472637,TX,INDIVIDUAL,"2 years",Accenture,A,MORTGAGE,11-12-2021,11-12-2021,"Fully Paid",11-01-2022,596861,car,A1," 36 months","Not Verified",54000,0.0267,268.83,0.0705,8700,15,9538,2021-12-09
732697,CO,INDIVIDUAL,"2 years",Corvirtus,A,MORTGAGE,15-10-2021,14-05-2021,"Fully Paid",14-06-2021,928926,car,A1," 36 months","Not Verified",85000,0.04,168.9,0.0542,5600,36,6080,2021-04-11
628369,TX,INDIVIDUAL,"2 years","Cricket Communications",A,MORTGAGE,13-12-2021,13-12-2021,"Fully Paid",13-01-2022,805177,car,A3," 36 months","Not Verified",36000,0.1997,54.9,0.0617,1800,21,1977,2021-12-10
842807,NY,INDIVIDUAL,"2 years","walmart distribution",A,MORTGAGE,16-05-2021,14-08-2021,"Fully Paid",14-09-2021,1053506,car,A4," 36 months","Not Verified",36000,0.1883,217.72,0.0749,7000,13,7838,2021-08-11
564180,CA,INDIVIDUAL,"3 years","California Department of Justice",A,MORTGAGE,13-08-2021,13-09-2021,"Fully Paid",13-10-2021,725950,car,A1," 36 months","Not Verified",120000,0.052,140.76,0.0639,4600,42,5068,2021-08-10
464609,AZ,INDIVIDUAL,"3 years","Mesa Fire Department",A,MORTGAGE,16-05-2021,10-03-2021,"Fully Paid",10-04-2021,582432,car,A2," 36 months","Not Verified",60000,0.1004,62.12,0.074,2000,14,2036,2021-12-09
1050642,OH,INDIVIDUAL,"3 years","Ares Inc.",A,MORTGAGE,14-06-2021,14-06-2021,"Fully Paid",14-07-2021,1281883,car,A2," 36 months","Not Verified",62352,0.1207,116.68,0.0662,3800,24,4187,2021-12-11
710680,PA,INDIVIDUAL,"3 years","Lonza Inc",A,MORTGAGE,14-04-2021,14-04-2021,"Fully Paid",14-05-2021,903454,car,A2," 36 months","Not Verified",54000,0.1129,151.64,0.0579,5000,20,5459,2021-03-11
390765,MD,INDIVIDUAL,"3 years","Rummel  Klepper  and  Kahl",A,MORTGAGE,10-03-2021,10-02-2021,"Fully Paid",10-03-2021,426115,car,A3," 36 months","Not Verified",60000,0.0036,313.37,0.08,10000,11,10513,2021-04-09
1026512,TX,INDIVIDUAL,"4 years",Aramark,A,MORTGAGE,14-11-2021,14-12-2021,"Fully Paid",14-01-2022,1255698,car,A1," 36 months","Not Verified",66000,0.0118,91.31,0.0603,3000,23,3287,2021-11-11
